ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,OriginalURL,CroppedImageURL
0000a16e4b057580,xclick,Watermelon,1,0.0,0.18375,0.14666700000000002,0.2825,1,1,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_0.jpg
0000a16e4b057580,xclick,Watermelon,1,0.0275,0.15625,0.025,0.198333,1,0,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_1.jpg
0000a16e4b057580,xclick,Watermelon,1,0.279375,0.410625,0.07083300000000001,0.184167,1,0,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_2.jpg
0000a16e4b057580,xclick,Watermelon,1,0.551875,0.719375,0.048333,0.2275,1,0,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_3.jpg
0000a16e4b057580,xclick,Watermelon,1,0.56875,0.92125,0.2625,0.734167,0,0,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_4.jpg
0000a16e4b057580,xclick,Watermelon,1,0.84375,0.999375,0.161667,0.301667,1,1,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_5.jpg
0000a16e4b057580,xclick,Watermelon,1,0.863125,0.999375,0.4275,0.923333,0,1,0,0,0,516015907_5b1c0effdb_o.jpg,Watermelon/516015907_5b1c0effdb_o_6.jpg
00030b70a3abfcea,xclick,Strawberry,1,0.105625,0.24875,0.532578,0.72238,0,0,0,0,0,15002922572_2229298b21_o.jpg,Strawberry/15002922572_2229298b21_o_9.jpg
00030b70a3abfcea,xclick,Strawberry,1,0.2225,0.373125,0.25118,0.414542,0,0,0,0,0,15002922572_2229298b21_o.jpg,Strawberry/15002922572_2229298b21_o_10.jpg
0005817f5c4ef853,xclick,Strawberry,1,0.003125,0.386875,0.43152,0.998124,1,1,0,0,0,17214757451_94201dd766_o.jpg,Strawberry/17214757451_94201dd766_o_11.jpg
0006124f7e35107e,xclick,Tomato,1,0.061758000000000014,0.793349,0.035642,0.5608609999999999,1,0,0,0,0,6891104550_28279e9c9a_o.jpg,Tomato/6891104550_28279e9c9a_o_12.jpg
0006124f7e35107e,xclick,Tomato,1,0.235946,0.965162,0.502354,0.944855,0,0,0,0,0,6891104550_28279e9c9a_o.jpg,Tomato/6891104550_28279e9c9a_o_13.jpg
